what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1784201973459
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid] return code: 4, 'other error'",1784201981627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784201985097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784201989357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784201991303
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/d/INTERN/NghienCuu_AXI_LITE/quartus/software/software_axi4lite/software_axi4lite.elf] return code: 4, 'other error'",1784201992940
error,log,,,"Downloading ELF Process failed",1784201992941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202007325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202007862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202123201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202123918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202294888
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1784202296027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202300141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202308468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202311977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202315238
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1784202315808
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1784202318792
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1784202321456
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1784202339769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202357895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202365268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1784202368546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1784202368741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1784202368913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1784202369090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202369330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202454419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784202460960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784206385533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784206390645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784208960107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784208960990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784208962299
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1784208962537
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1784208962935
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1784208964685
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1784208965198
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1784208965198
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1784208965696
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1784208965697
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1784208965697
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1784208965697
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1784208965697
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1784208965698
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1784208965698
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1784208965698
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1784208965698
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1784208965753
